drug,ndc
Nystatin Oral Suspension,00121481040
Hydroxychloroquine Sulfate(Plaquenil brand),00378037301
Lorazepam,00641604425
Influenza Virus,33332001001
Scopolamine Hydrobromide,63323026801
*NF* Cefoxitin Sodium,00006335645
Dextromethorphan ,54569105100
Valproic,68094019361
Lidocaine 1%,63323048527
CeFAZolin,00781933895
Lithium Carbonate,68968449201
Lidocaine ,00054350049
Digoxin,00054005746
PredniSONE,00143147501
Pre,00071101441
Esmolol (0.9% NaCl),0
Ethyl Chloride,00386000103
pregabalin,00071101268
Pramipexole,00009000602
Aripiprazole,59148000835
Clindamycin,63739005910
Lotensin,00078044905
vitamin a,00904208560
Erythromycin Ethylsuccinate Suspension,00074636902
Isosorbide,68084059101
Disulfiram,51285052302
NIFEdip,67767015101
LevETIRAcetam,00904605261
Albuterol,49502069724
CloNIDine,29300013501
Glyburide Prestab,00009035201
Metoprolol Succinate XL,00186109239
Ampicillin,63323038910
lamiVUDine,66993047860
NIFEdipi,00085172202
Niacinamide ,00536406801
lefl,00093017456
Fludarabine Phosphate,45963062151
Captopril,00904504561
Xanax,51079079001
B complex vitamins,00536478701
peg,70114010101
5% Dextrose,00338001701
Lidocaine 2%/Epinephrine P.F.,00186012201
TraMADOL (Ultram),51079099120
metFORMIN,51079097220
Ampicillin-Sulbactam,10019063002
Clevidipine,10122061010
Fondaparinux Sodium,66203230001
cetirizine,51079059720
PALIperidone Palmitate,50458056301
Levobunolol 0.5%,24208050510
Glycopyrrolate,10019001617
Potassium Phosphate,00517231525
Digoxin,00781305995
olopatadine,00065027105
Acetaminop,00713016550
Multivitamins W/minerals,00904549261
Isosor,58177022211
Labetalol,51079092820
ValACYclovir,63739052510
CISplatin,00015322022
Venlafaxine,00008078102
niac,00536407701
Cyclosporine,00078027422
ethionamide,00008411701
CoQ10:200 mg,10939003722
multivi,50383068304
Acetaminophen,00904677361
Benadryl,00641037625
Olanzapine,00002445385
Fluphenazine,55390046505
diflorasone,00066007131
Doxazosin,51079095701
Meclizine,68084049001
Hydrocortisone,00009001201
Sucralfate,00093221001
Fiasp FlexTouch U-100 Insulin,00169320111
LevoFLOXacin,00904635261
Carmustine,00015301238
dorzolamide-timolol (PF),24208048610
Digoxin,00054819216
Leucovorin Calcium,25021081630
Carbamazepine,00083002730
PHE,00641047625
Lovenox,63323056990
diltiazem,00258368890
Ipratropium,00487980125
0.9% Sodium Chloride,00338004910
Psyllium,37000002404
Lidocain,63323048527
tamsulosin,00904640161
Triamcinolone Acetonide,00003049420
Cocaine 4% Soln,00527172874
Carisoprodol,51079005520
MethylPHENIDATE (Ritalin),59630076210
Colchi,00143120101
Heparin Flush Port (10 units/mL),08290036005
Linezolid,00009514001
Proparacaine HCl 0.5% Opth.,17478026312
Furosemide-Heart Failure,00517570425
Captopril,51079086320
Tacrolimus,00469061711
Cefepime Desensitization,60505083404
Zolpidem Tartrate,00904608261
Bisacodyl,00713010950
neomycin-bacitracin-polymyxin,24208078055
Aspirin 325 mg p-o,00904404073
Vancomycin Antibiotic Lock,63323022110
0.9% Sodium Chloride (EXCEL BAG),0
hyoscyamine sulfate,24486060110
cetir,51079059720
Carbatrol,54092017312
NS (Syringe),0
Lorazepam 2 mg syringe,00409198530
Trileptal,00054009920
Carvedilol,51079077120
naltrexone,00555090201
Levofloxacin,00045006801
Alteplase,50242004413
Phenytoin,00071000740
isoproterenol HCl,70121160507
LaMOTrigine,00093068801
LORazepam,63739049910
Albumin 5%,00944049102
Meperidine,00409117830
Nortriptyline,00078001633
Nystatin-Triamcinolone Cream,00168008130
Dorzolamide,50383023210
Colace,00904224461
Divalproex ,62756079688
TraZODone,60687044301
Paroxetine,00029321548
DICYCLOMine,60687036901
Sertraline,68084018101
Tirofiban,61379012005
Pantoprazole (Granules for DR Suspension),00904647461
Docusate S,00904224461
Pilocarpine 2%,61314020415
Hep,64253033335
amphetamine-dextroamphetamine,00555097102
Dexamethasone Oral Soln (0.1mg/1mL),60432046608
Phenytoin ,66689003650
Warf,00056017275
Felodip,00603358121
Doxercalciferol,64894082550
Niacin,00904420260
Multivitamins,00245009101
Paroxetine,68084004501
Ferrous Sulfate,00182402889
Nifedical XL,67767015101
Heparin Flush (5000 Units/mL),63323026201
Iloperidone,43068010202
Dexamethasone,00517490525
albuterol sulfate,00173068220
Ibuprofen,63739068410
Tacroli,00469061711
Prednisol,60432021208
Bethanechol,51285069702
CeFAZolin,44567070725
prednisolone acetate,61314063705
tenofovir alafenamide fumarate,61958230101
atorvastatin 40 mg capsule,68084058901
Calcium Acetate,68084047901
Albuterol ,50383074120
Plan B,51285076993
Budesonide,65483070210
Viracept,63010002770
liothyronine,60793011501
Bumetanide,51079089101
PARCOPA,00091334201
CeftazIDIME,00173041300
Debrox 6.5%,00904322035
Fluocinolone Acetonide 0.01% Cream,00168005815
abacavir,49702022144
Preservative-Free Artificial Tears,00023050601
CeftriaXONE,00781320695
Neostigmine (CVICU Reversal Protocol),42023018910
ropinirole,00093528401
Akwa Tears,17478006235
Fluorescein Strip,24208039183
Nystatin,51285053422
Hyoscyamine,43199001401
Acetami,00121065721
Mesalamine DR (ASACOL HD),00430075327
triaz,00054485906
CefTRIAXone Desensitization,00781320895
multivitamin with minerals,50383068304
Asenapine,00052011890
methaDONE,00054355663
Dexamethaso,00054817925
Lidocaine Jelly 2%,25021067376
Moxifloxacin,00065401303
Mycophenolate Mofetil Suspension,00378447201
Octreotide Acetate,55390016110
Proglycem,51927274200
Carbamazepin,54092017212
calcitriol,00054312041
Dextrose 5%,00338001704
Qvar,59310017780
Latanoprost 0.005% Ophth. Soln.,61314054701
erlotinib,50242006201
D,00054817625
ACD-A for CRRT,23731605305
Anagrelide,00172524160
Lithium ,60505250403
anagrelide,00172524160
Abacavir,51079020406
Orthopedic Solution,00009023303
Isoso,62175011937
OLANZapine (Disintegrating Tablet),49884032155
NS  W/  0.1% Albumin,0
Verapamil HCl,00409401101
Tresiba U-100 Insulin,00169266097
Desmopressin Acetate,55566220000
Voriconazole,00904647104
Quetiapine Fumarate,00904627761
Letermovir (Letermovir),0
Cosopt,24208048610
Captopr,00904504561
Metoclopramide,00121157610
Tranexamic Acid,55150018810
Lidocaine 2%,63323048627
Praziquantel,00085174701
Chlorothiazide,63323065820
Ascorbic Acid,00904052361
PHENObarbital,00904657561
PHENObarbit,00603150858
ipratropium bromide,00487980125
Venlafaxine,00093738001
Oxaliplatin,61703036318
Ketorolac,70860070002
proscar,00555077002
LamoTRIgine,00093068801
Imipenem-Cilastatin,00006351659
VinORELbine (Navelbine),55390007001
GuaiFENesin-CODEINE Phosphate,00121155000
Octreotide Acetate,63323037601
Lithium Carbonate,00054352763
Budesonide,00186070210
PACLItaxel-Protein Bound (Abraxane),68817013450
Albumin 25% (12.5g / 50mL),44206025110
Granisetron,00093748520
Furosemide-Heart Failure,23155047342
Gabapentin,59762502501
Lithium Carbonate CR (Eskalith),00054002025
Calcium Citrate,16500053504
methylPREDNISolone acetate,00009307303
LaMOTrigine ER,00093046301
Maxalt-MLT,00006026706
Cephalexin,60687016301
Bisaco,00182853489
Morphine ,00054858516
Aspi,63739052201
Spiriva Respimat,00597007575
Budesonide,00186198804
Clonidine Patch 0.3 mg/24 hr,00597003334
Isosorbide Dinitra,00143176901
Aminoca,00409434673
budesonide,00378715501
Maalox Advanced,00121176130
Loxapine Succinate,52544049401
HYDROmorphone,00074241421
Morphine 0.2% Oral Rinse,00641607325
Valproate Sodium,68094019361
Amantadine,68084061101
progesterone micronized,00032170801
DOBUTamine,00074234632
Azathioprine Sodium,55390060020
Penicillin G Benzathine,60793070210
Flonase,00054327099
Mupirocin ,51672131200
CARVedilol,00904630361
Milrinone,63323061720
CloNIDine,51079030020
Valsartan,00078042315
Nicotine Polacrilex,00766004548
Sodium Chloride 0.9%  Flush,
Lexapro,68084061701
Allopurinol,00904657261
Bivalirudin,65293000101
Nitrofurantoin (Macrodantin),47781030701
calcium citrate,00904506260
Metoprolol Tartrate,00904777261
lactul,00054848616
Mesna,00015356302
Enalaprilat,00143978610
INV-Clofazimine,51927371900
Nystatin Ointment,00168000715
cepac,63824071298
Morphine Sulfate (Concentrated Oral Soln),00054040444
Phenytoin Sodium Extended,66689003650
Lithium,00054852725
*NF* Erlotinib,50242006401
Insu,00169183311
haloperidol lactate,00093960412
Mycophenolate Sodium DR,68084091825
Bethanechol,63304099501
Calcitriol,00004014401
Enoxapari,00075062280
Soln,0
fenofibric acid,00074612390
Calcipotriene 0.005% Cream,00430302015
FLUoxetine,00904578461
DOCEtaxel (TaxoTERE),00409020110
Ganciclovir,25021018510
Rivaroxaban,50458058010
Terbinafine 1% Cream,51672208001
Testosterone,52544007660
MedroxyPROGESTERone Acetate,00009005002
Enoxapari,00075062160
Isosorbide Mononitrate,00228263111
HYDROmorphone (Dilaudid),00074241421
Tums,66553000401
Dipyridamole,51079007020
Fentanyl Patch,00781710955
Famotidine,00172572860
Albumin,00944049505
Vancomycin Enema,63323022138
PARoxetine,00904567761
Timoptic,61314022705
Lansoprazole Oral Disintegrating Tab,00781573413
rotigotine,50474080203
Chlordiazepoxide HCl,51079037420
Divalproex (DELayed Release),00074621511
Erythro,00074636902
PEMBROlizumab,00006302602
Travatan Z,00065026625
Octreotide Acetate,00078018201
Paromomycin,57664017508
moda,51079056103
Muromonab-CD3,59676010101
Hydroxyprogesterone caproate,66993003883
Isosorbide,50268045115
Atomoxetine,00002322930
aluminu,00121176130
Cefpodoxime,63304052020
Docusate ,00904224461
oxybutynin chloride,17314850101
benzonatate,58177009111
Valproic ,00121467555
Atropine Sulfate Ophth 1%,17478021515
Patanol,00065027105
maribavir 100 mg tab,0
Silver Sulfadiazine 1% Cream,42549072950
Diphenhyd,00641037625
Asenapine,00052011990
Hepa,63323054201
TraZODone,50111043401
Montelukast,13668008030
Nifed,00085172202
Ferric Gluconate,00591014987
Pentamidine Isethionate,63323087715
OxyCODONE SR (OxyCONTIN),59011041020
econ,00168031230
CloniDINE,51079029920
Fleet Enema (Saline),00132020145
Docu,00121054410
Ipratropium-Albuterol Neb,00487020101
Carbidopa,00378505301
Tricor,00074612290
norepinephrine bitartrate,00409337504
Dextrose 5%  (*Glass Bottle*),00409792337
mesalamine,00430075327
TheraTears Gel 1%,58790000228
Clindamycin,00409419701
Procardia XL,00085172202
Isosorbide Mononitrate,00008077102
Hydrocortis,10631040701
etravirine,59676057001
Ketorolac 0.5% Opth Solution,00023218105
sertraline,00172567310
Neostigmine,63323038310
Lidocaine,76329339001
Mupirocin,00029152611
Influenza Vaccine Quadrivalent,19515090641
Pilocarpine 1%,61314020315
Lidoderm,00591352530
Metformin,51079097220
Potassium ,00245004101
Nicotine Polacrilex,00536302906
darbepoetin alfa in polysorbat,55513002801
Ketamine,67457018120
Triamcinolone Acetonide,00472030680
Bisacodyl,00904640761
Cholestyramine Light,49884046565
Colestid,00009026002
Nicotine Patch,49781014214
Anastrozole,00310020130
5% Dextrose,00338001710
Ampicillin-Sulbactam,25021014330
Lactic Acid 12% Lotion,45802052555
Citalopram ,60505251903
Lisinopril,00172375810
Fuzeon,00004038039
MetOLazone,51079002420
Nystatin Powder,00003059320
CarafATE,51079087101
Clindamycin,00009076004
Alendronate Sodium,69543013120
Cepacol Sore Throat (benz-men),63824071298
Klonopin,00781801801
LaMICtal,00093046301
LACOSamide,00131247760
Itraconazole ,50458029515
Tacrolimus Suspension,55111052601
Albumin 25% (12.5g / 50mL),00944049302
Fluorometholone 0.1% Ophth Susp.,11980021105
indomethacin,42211010243
CycloPHOSPHAMIDE,00054038225
Linezolid,00009514004
quiNIDine gluconate,53489014101
Succinylcholine,00409662902
Mirapex,00597019061
Adderall,00555076202
tim,61314022705
Bupivacaine 0.2%,0
Influenza Vaccine Quadrivalent,49281041550
boceprevir,0
Descovy,61958200201
Naproxen,51079079320
Voltaren,58768010002
codeine,00054024424
Diltiazem,00258369090
lidocaine,24357070115
Furosemide-Heart Failure,63323028004
Fondaparinux,67457059304
Liothyronine Sodium,60793011501
Calcium Carbonate Suspension,10939011801
enalapril,00093002610
CarafATE,00093221001
Rituximab,50242005306
Sofosbuvir/Velpatasvir,0
CoQ10  200 mg,10939003722
pramipexole,42543070590
Imitrex,00173073500
levothy,00074455211
Simvastatin,51079045620
Acetaminophen,00121197100
Anastrozole,00310020137
Insulin,00169750111
Abciximab,00002714001
Vancomycin Enema,67457033950
mvi,00245008201
raloxifene,00002416530
Glyburide,00182264789
Fioricet,00143178701
Tacrolimus (Prograf Brand) *NF*,00469061711
Fluocinonide ,51672126403
*nf,66993000860
Clobazam,67386031501
Levonorgestrel,51285094288
Insulin (Regular) Intraperitoneal,00002821501
Salagen,58063070510
Niacin,00536407701
Cortef,00143125401
HYDROmorphone-HP,61703024350
Lidocaine Topical,00054350547
Hydrocortisone Cream 0.5%,00168008031
Risperidone (Disintegrating Tablet),50458060128
pramipexole,00597019061
Calcium Gluconate Replacement (Oncology),63323031119
Nystatin-Triamcinolone Ointment,70756081135
Chlorhexidine Gluconate,00472003616
RifAMPin,68084035721
Ampicillin Sodium,44567010310
Duragesic,00781711455
fidaxomicin,52015008001
cisatracurium,00074438010
AMOXicillin Oral Susp.,00093415573
Potassium Chl 40 mEq / 1000 mL D5NS,00338080704
LevETIRAcetam,51079082020
Dornase Alfa,50242010039
*NF* Capecitabine,00004110150
Sarna Anti-Itch,54162055007
diltiaze,00258368890
Benztropine Mesylate,00143972905
Rivastigmine,00078033931
Albuterol sulfate,00173068224
thiamine HCl (vitamin B1),63323001302
Fluphenazine Decanoate,00003056902
Sargramostim,50419059505
Neutr,60258000601
Methocarbamol,00603448521
aspirin,63739002401
Dilantin,00071036524
Benzocaine,38341006545
Magnesium Sulfate Replacement (Oncology),00409672924
Morphine Sulfate (Oral Solution) 2 mg/mL,68094000162
Chlorpheniramine-Hydrocodone,27808008601
keppra,50474059966
albuterol sulfate,00487950125
CefTAZidime,00781317796
norethindrone acetate,68180087613
Andexxa,69853010101
Diazepam,63739007310
PredniSONE,00054873925
Heparin Flush (1000 units/mL),00641244045
Ferrous,00245005301
Fenofibrate Micronized,00074612290
Phenylephrine 10 % Ophth Soln,42702010305
acyclovir 400 mg ,0
INV-H3B-8800,0
Albumin 5% ,00944049101
Dexamethas,00054817925
Fondaparinux Sodium,00007323411
Ribavirin *NF*,0
alprazolam,51079078820
Epi,42023012225
Hydrocortisone,00115170001
N-Acetylcysteine,0
Ferumoxytol,59338077510
cefUROXime axetil,54868502200
Methotrexate Sodium,58406068316
chlorproMAZINE,51079051920
CellCept,00378447201
Promethazine,50383080116
Betamethasone Dipro 0.05% Augmented Gel,00168026650
Azithromycin ,00069315083
Atorvastatin,00904629061
CycloPHOSPHAMIDE,00054038325
Narcan,76329336901
niferex,10267146501
Psyllium Wafer,37000002404
Ventolin CFC,17270072101
CefTRIAXone,00409733503
Fluorouracil,00703301812
Amino Acids 4.25%-Dextrose 5%,00338114403
triamterene-hydrochlorothiazid,51079093520
Nadolol,00093423701
Leucovorin Calcium,55390005210
beclomethasone dipropionate,59310017780
Prochlorperazine,23155029442
Venlafax,00008083303
Potassium,58177000111
Cidofovir 1% Topical Paste,61958010101
Propranolol HCl,10019014501
Filgrastim (Neupogen),55513054610
Divalproex Sod. Sprinkles,57237004801
MethylPREDNISolone,00009004722
Divalproex ,68084077601
Interferon Alfacon-1,64116003106
mupirocin,45802011222
*NF* Irbesartan,00087277235
Paroxetine HCl,00904567661
Vigabatrin,00065401303
Fentanyl Patch,00378911998
Amoxicillin,55370088408
Lidex,00093026292
Everolimus,00078041420
PHENoba,00603150858
Dexametha,63323016501
Flurazepam,00143336701
Phenoxybenzamine HCl,65197000101
Lidocaine 2% P.f.,00409428201
Glutamine,00338917791
Toprol XL,58177029311
combiv,00597002402
MetFORMIN,51079097220
*NF* Temozolomide,00085151904
OLANZapine (Disintegrating Tablet),50268061513
Cimetidine,51079080720
desonide,51672128001
*NF* Ketorolac 0.5% Ophth Soln,00023218105
Calcipotriene 0.005% Cream,50222026006
*NF* Pegaspargase,54482030101
Topiramate ,00093015506
Wellbutrin,00173094755
Fleet,11917007645
potassiu,00456066270
Ocuvite,24208036705
Humulin-R Insulin (U-500),00002850101
Tranexamic Acid,42192060510
Klor-Con,00245004101
diltia,00088177849
CarBAMazepine Suspension,68094000859
CeftriaXONE,00781320895
ketorolac,00023218105
Quetiapine extended-release,00310028239
clora,63304055201
phen,00641047625
dalteparin (porcine),00069022801
Dexamethasone Ophthalmic Soln 0.1%,00998061505
Refresh,00023050601
Clindamycin Phosphate,00409405101
Levalbuterol inhaler,00093414664
Niaci,00536407701
Nitroglycerin Ointment  2%,00168032608
Irinotecan,00143970201
OxycoDONE-Acetaminophen Elixir,00054864816
Ampicillin Sodium,00781340995
Fetzima,00456224030
GammaGARD S/D,00944265804
VESIcare,51248015001
mbl,0
HYDROmorphone,59011045210
Dorzolamide 2%/Timolol 0.5% Ophth.,24208048610
Imatinib Mesylate,00078040105
Epoetin Alfa,55513026710
Theophylline,62332002531
sodium chlor,00378699789
Tigecycline,00008536002
Heparin (Impella),00641040012
OLANZapine,00904637661
Pantoprazole,00008092355
Nystatin Oral Suspension,51672411704
AcetaZOLa,68084040121
Diltiazem ,00088177849
Trace Elements,63323014397
Lomotil,51079006720
carbidopa-levodopa,47335018788
Amoxicillin,00781604146
potass,00574027511
Heparin TOPICAL (100 Units/mL),64253033335
Isosorbide ,58177023811
Acular,00023218105
ZZ,10939003722
Tucks Hemorrhoidal Oint 1%,42002030001
Charcoal Aqueous (Activated),66689020204
Glycopyrrolate (CVICU Reversal Protocol),00143968025
Lidocaine 1% P.f.,00409471332
Tenofovir Disoproxil Fumarate,61958040101
diltiazem,00088177749
ergocalciferol (vitamin D2),00223197101
Levothyroxine Sodium,42292003820
Insulin (Regular) for Hyperkalemia,00169183311
Naproxen,65162018810
NS (Irrigation Bottle),00338004802
Lisinopril,00904679761
BuPROP,00591083960
Acetaminophen,00904198861
dalteparin,00069020601
Fluocinolone Acetonide 0.025% Cream,51672138603
Mycophenolate Mofetil (Self Med),00004026001
fentaNYL,00378911916
Epinephr,49502050002
Quetiapine,00310027239
insulin aspart,00169750111
Keppra XR,50474059966
Pamidronate,61703032618
Levothyroxine Sodium,55390088010
Piperacillin-Tazobactam,00206886002
Tretinoin 0.05% Cream,66530024220
aMILoride,49884011701
Hydrocortisone,00143125401
Crinone,44087081808
Zonisamide,00378672705
Fluocinonide 0.05% Ointment,51672126403
Heparin Flush CRRT (5000 Units/mL),63323026201
LaMICtal,51672413001
Zofran,00641608025
Zeasorb,00064065001
Metoprolol Tartrate,00378459301
Ruxolitinib ,50881000560
Cleocin T,59762372802
Ondansetron,00641607825
Enoxaparin (Treatment),00703856023
Cortrosyn,0
acetyl,00517760425
Oxycodone SR (OxyconTIN),59011010525
Morphine Sulfate,00641607025
Fat Emulsion 10%,00338051802
Bottle,0
Westcort,00072810015
Fluocinolone Acetonide 0.01% Cream,00713022315
haloperidol,51079073420
topiramate,50458064165
Methylene Blue 1%,17478050410
Lithium Carbonate CR (Eskalith),68968449201
Nicotine,00766004548
Phytonad,00409915801
testosterone cypionate,00009041701
NiCARdipine IV,67286081203
Cytomel,60793011501
Porfimer Sodium,76128015575
Heparin Flush (100 units/ml),64253033335
Trastuzumab,50242013201
Levothyrox,00074455211
iron complex,10267146501
Aspirin Desensitization (AERD),68016001129
Dexamethas,00054818125
Haloperidol,67457042612
ara,55513002801
Vancomycin,00409433249
Cetiri,51079059720
Venlafaxine ,68084071301
Potassium Chl 20 mEq / 1000 mL D5W,00338068304
Benzo,58177009111
Cetirizine,00069073166
Niacin,00904227260
NiCARdipine IV,00781320495
Norethindrone-Estradiol,00555900942
LORazepam,69315090401
C,51079059720
Permethrin,00023791560
Bacitracin,00168002638
Metoprolol,00186108839
Enoxaparin (Prophylaxis),00703854023
imiquimod,00089061012
insulin lispro protam-lispro,00002751101
thera,50383068304
Olanzapine,00002759701
diclofenac sodium,00115148361
COQ10 (300 mg) ,14654084868
Mephobarbital,51991041702
NIFEdipine (Extended Release),54569515500
CARBOplatin,00703324811
sertraline,68084018001
MIDRIN,62584013901
paromomycin,57664017508
Artificial ,00023050601
haloperidol,00781139313
cycloSPORINE modified,00078027422
simethicone,00182864389
Methylergonovine Maleate,27437005056
Glucose Tab,00904671015
Carbamazep,51672412401
Metrogel,00299382060
Fluorouracil,63323011710
guanFACINE,54092051302
Prenatal Multi,00904531360
Heparin CRRT,00641243645
Clopidogrel 150 mg,0
INV-ABL001,0
Levothyroxine Sodium,51079044120
Acyclovir,00173099501
Levothyroxine Sodium,00378181177
LamoTRIgine,68084031901
Neoral ,00078024815
ABT-199,0
Sulfameth/Trimethoprim DS,00904272561
